id,map_label,category,rank,period_family,evidence,certainty,date_label,scenes,focus_scenes,note,lon,lat
CH01F016,Torihama,production,1,jomon,archaeological,secure,Early Jomon,jomon-coasts;late-jomon,jomon-coasts,Waterlogged remains preserve plant use woodworking basketry and lacquer,135.905,35.552
CH01F017,Natsushima coast,landscape,2,jomon,geographical,approximate,Early Holocene shoreline,jomon-coasts,,The modern shore is only an orientation for a substantially changed bay,139.70,35.24
CH01F018,Yatsugatake Highlands,landscape,1,jomon,geographical,secure,Middle Jomon,jomon-highlands,jomon-highlands,Springs forests and access to obsidian supported dense highland settlement,138.30,35.95
CH01F019,Togariishi,settlement,1,jomon,archaeological,secure,Middle Jomon,jomon-highlands,jomon-highlands,Major highland settlement and pottery landscape,138.254,36.013
CH01F020,Idojiri,production,1,jomon,archaeological,secure,Middle Jomon,jomon-highlands,jomon-highlands,Processed plant remains and concentrated ritual objects illuminate highland life,138.29,35.91
CH01F021,Hiraide,settlement,2,jomon,archaeological,secure,Middle Jomon,jomon-highlands,,A burned house and figurine concentration provide an important ritual context,137.96,36.10
CH01F022,Shakado,production,2,jomon,archaeological,secure,Middle Jomon,jomon-highlands,,Numerous deliberately broken figurines were recovered here,138.70,35.62
CH01F023,Lake Suwa obsidian approaches,production,1,jomon,archaeological,approximate,Middle Jomon,jomon-highlands,jomon-highlands,Routes south of Lake Suwa connected valued stone with mountain and plain,138.08,36.05
CH01F024,Kainohana,burial,1,jomon,archaeological,secure,Late Jomon,late-jomon,late-jomon,Communal center with ritual objects and mortuary evidence,139.93,35.79
CH01F025,Oyu Stone Circles,burial,1,jomon,archaeological,secure,Late Jomon,late-jomon,late-jomon,Large stone circles joined gathering burial exchange and ceremony,140.804444,40.271389
CH01F026,Kamegaoka,settlement,1,jomon,archaeological,secure,Final Jomon,late-jomon,late-jomon,Northern concentration known for technically assured ritual and domestic craft,140.336667,40.883889
CH01F027,Korekawa,production,1,jomon,archaeological,secure,Final Jomon,late-jomon,late-jomon,Wet deposits preserve lacquer wood and sophisticated household objects,141.490833,40.473611
CH01F028,Northern Jomon concentration,landscape,1,jomon,interpretive,approximate,Late and Final Jomon,late-jomon,late-jomon,A regional concentration rather than a bounded political community,140.75,40.55
CH01F029,Tsushima,gateway,1,yayoi,archaeological,secure,Final Jomon to Yayoi,rice;wa,rice;wa,Stepping-stone in sustained strait crossings,129.33,34.42
CH01F030,Iki,gateway,1,yayoi,archaeological,secure,Final Jomon to Yayoi,rice;wa,rice;wa,Maritime stage between the peninsula and northern Kyushu,129.69,33.79
CH01F031,Nabatake,settlement,1,yayoi,archaeological,secure,early first millennium BC,rice,rice,Early wet-rice field evidence near Karatsu,129.96,33.45
CH01F032,Itazuke,settlement,1,yayoi,archaeological,secure,Final Jomon and Early Yayoi,rice;yayoi,rice,Fields channels tools storage and burial meet at this threshold site,130.455,33.571
CH01F033,Harunotsuji,settlement,2,yayoi,archaeological,secure,Yayoi,rice;wa,,Major Iki settlement within the maritime field,129.724,33.78
CH01F034,Yoshinogari,settlement,1,yayoi,archaeological,secure,Middle and Late Yayoi,rice;yayoi,yayoi,Ditches buildings storage and burials accumulated through several phases,130.386,33.323
CH01F035,Doigahama,burial,1,yayoi,archaeological,secure,Yayoi,yayoi,yayoi,Cemetery reveals differentiated treatment ornaments and bodily affiliation,130.90,34.06
CH01F036,Mikumo-Iwara,burial,1,yayoi,archaeological,secure,Middle Yayoi,yayoi,yayoi,Elite northern Kyushu burial concentration with continental prestige goods,130.23,33.56
CH01F037,Sugu-Okamoto,burial,1,yayoi,archaeological,secure,Middle Yayoi,yayoi,yayoi,Elite burial and exchange center near the Fukuoka plain,130.45,33.53
CH01F038,Toro,production,1,yayoi,archaeological,secure,Late Yayoi,yayoi,yayoi,Flood-preserved paddies waterworks houses and raised storehouses,138.406,34.966
CH01F039,Santonodai,settlement,1,yayoi,archaeological,secure,Middle Yayoi onward,yayoi,yayoi,Defended bluff settlement above Yokohama Bay,139.63,35.43
CH01F040,Karako-Kagi,settlement,1,yayoi,archaeological,secure,Middle and Late Yayoi,yayoi,memory,Large settlement in the Nara basin,135.801,34.552
CH01F041,Ikegami-Sone,settlement,1,yayoi,archaeological,secure,Middle Yayoi,yayoi,,Large Osaka Bay settlement and managed landscape,135.433,34.502
CH01F042,Asahi,settlement,2,yayoi,archaeological,secure,Yayoi,yayoi,,Large defended settlement on the Nobi plain,136.862,35.222
CH01F043,Yasunagata,production,1,yayoi,archaeological,secure,Yayoi,bronze,bronze,Bell and weapon molds slag and refined tin reveal local casting,130.31,33.25
CH01F044,Ibaraki workshop,production,1,yayoi,archaeological,secure,Late Yayoi,bronze,bronze,Nearly complete bell mold supports major foundries around Osaka and Nara,135.57,34.82
CH01F045,Sakuragaoka cache,production,1,yayoi,archaeological,secure,Late Yayoi,bronze,bronze,Fourteen bells and seven halberds were deliberately concealed on a ridge,135.22,34.73
CH01F046,Kojindani cache,production,1,yayoi,archaeological,secure,Late Yayoi,bronze;memory,bronze;memory,Exceptional ordered deposit of swords spearheads and bells in Izumo,132.78,35.354
CH01F047,Kamo Iwakura cache,production,1,yayoi,archaeological,secure,Late Yayoi,bronze;memory,bronze,Large bronze-bell deposit within the Izumo landscape,132.859,35.319
CH01F048,Kibi,landscape,1,yayoi,interpretive,approximate,Yayoi,bronze;memory,bronze;memory,Strategic zone where western weapon and eastern bell distributions overlap,133.80,34.63
CH01F049,Lelang Commandery,political,3,record,external_record,secure,108 BC to AD 313,wa,,Continental administrative frame for early reports and exchange,125.75,39.00
CH01F050,Daifang Commandery,political,1,record,external_record,secure,third century AD,wa,wa,Starting point named in the Wei itinerary to Wa,125.60,38.00
CH01F051,Matsuura,political,1,record,external_record,approximate,third century AD,wa,wa,Comparatively secure northern Kyushu stage in the itinerary,129.98,33.45
CH01F052,Ito,political,1,record,external_record,approximate,third century AD,wa,wa,Comparatively secure northern Kyushu stage in the itinerary,130.21,33.56
CH01F053,Na,political,1,record,external_record,approximate,first to third centuries AD,wa,wa,Polity connected with recorded embassies and the northern Kyushu route,130.43,33.56
CH01F054,Fumi,political,2,record,external_record,approximate,third century AD,wa,wa,Last broadly placeable stage before disputed directions and travel times,130.51,33.57
CH01F055,Makimuku,political,1,yayoi,archaeological,secure,late third century AD,wa;memory,memory,Archaeological center near the Kofun threshold; not labeled as Yamatai,135.846,34.548
CH01F056,Nara Basin,landscape,1,yayoi,geographical,secure,third century AD,memory,memory,Agricultural and route-rich basin where a new scale of centrality emerged,135.83,34.55
CH01F057,Izumo,political,1,yayoi,archaeological,approximate,Late Yayoi,memory,memory,Regional center whose material strength must remain distinct from later myth,132.75,35.37
CH01F058,Northern Kyushu,political,1,yayoi,archaeological,approximate,Late Yayoi,memory,memory,Maritime and agricultural center with dense continental connections,130.40,33.55
CH01F059,Inland Sea networks,landscape,1,yayoi,interpretive,approximate,Late Yayoi,memory,memory,Maritime corridor linking several regional centers,133.60,34.20
